"TEAM_NAME","ESTABLISHED_DATE","HEAD_COACH","CITY","TEAM_ID","TEAM_ICON"
拜仁慕尼黑,1900-02-27 00:00:00.000,孔帕尼,慕尼黑,1000000008,https://s21.ax1x.com/2024/09/07/pAekmcR.jpg
皇家马德里,1902-03-06 00:00:00.000,卡洛·安切洛蒂,马德里,1000000002,https://ts1.cn.mm.bing.net/th/id/R-C.f0d215f20e313fed6e18e10ecd2fbbe8?rik=BQykHJhKFR3Otg&riu=http%3a%2f%2fwww.kuaipng.com%2fUploads%2fpic%2fw%2f2021%2f05-25%2f100513%2fwater_100513_698_698_.png&ehk=lP75FMthwLnah7F1taLCIlBmBbiCzK5xwTKN%2bHLZxCQ%3d&risl=&pid=ImgRaw&r=0
国际米兰,1908-03-09 00:00:00.000,西蒙尼·因扎吉,米兰,1000000003,https://ts1.cn.mm.bing.net/th/id/R-C.5ea80be3d1cfa0b74d43aad59f9d9ff1?rik=rEH1PJyPMwqS1A&riu=http%3a%2f%2fwww.kuaipng.com%2fUploads%2fpic%2fw%2f2021%2f05-24%2f100478%2fwater_100478_698_698_.png&ehk=F%2fYmkBtk9yLSrjSdnZnVGEYodPnAf3wrwPZIZZ3PbpA%3d&risl=&pid=ImgRaw&r=0
曼彻斯特城,1880-01-01 00:00:00.000,佩普·瓜迪奥拉,曼彻斯特,1000000004,https://ts1.cn.mm.bing.net/th/id/R-C.25dab1c30b1e5c38e3c2ef1a87f45068?rik=LWbJcKzz7LcMHg&riu=http%3a%2f%2fwww.kuaipng.com%2fUploads%2fpic%2fw%2f2021%2f05-24%2f100498%2fwater_100498_698_698_.png&ehk=oJnxaRQ3t7E%2bCtxo7Msbm%2bk78crVRuK1r%2f3koD5GwFo%3d&risl=&pid=ImgRaw&r=0
利物浦,1892-06-03 00:00:00.000,阿内·史洛,利物浦,1000000005,https://ts1.cn.mm.bing.net/th/id/R-C.fd44648f2151a7c69d619022bbfd94f5?rik=Bv%2fe11JWVdg5rA&riu=http%3a%2f%2fwww.kuaipng.com%2fUploads%2fpic%2fw%2f2021%2f05-24%2f100495%2fwater_100495_698_698_.png&ehk=Hm0ETbutvTzQPKV97XcwQbsEXeoKXy%2fZXSzDn4MCSFg%3d&risl=&pid=ImgRaw&r=0
切尔西,1905-03-11 00:00:00.000,恩佐·马雷斯卡,伦敦,1000000007,https://ts1.cn.mm.bing.net/th/id/R-C.7243d462d2125dfa50451fe7554c0666?rik=y%2bJo8fnnKx%2fn4w&riu=http%3a%2f%2fpic.616pic.com%2fys_b_img%2f00%2f23%2f43%2fVhCrhYlcRV.jpg&ehk=UMvi67n0brFdKpUsx%2bLGLouXJtOt7SzyXAiVoPnbDW0%3d&risl=&pid=ImgRaw&r=0
巴塞罗那,1899-11-29 00:00:00.000,汉斯-迪特,巴塞罗那,1000000006,https://tse4-mm.cn.bing.net/th/id/OIP-C.cOMuEGSETSeQqiq-UjXSmQHaHa?rs=1&pid=ImgDetMain
阿森纳,1886-12-01 00:00:00.000,阿尔塔特,伦敦,1000000001,https://img.88icon.com/upload/jpg/20210523/501ab0f248dbed769cf8f64c43ecb1db_44359_568_426.jpg!bg
